text,date,newspaper,likes,retweets,lang,period
american airstrike iraq weekend focus public hostility reduce heat iran proxy,2019-12,nytimes,117,60,en,precovid
town slowmotion chernobyl york times analysis effort clean mexico polluted waterway find attempt flounder face legal loophole deficient funding lack political,2019-12,nytimes,334,168,en,precovid
oats fill nuttiness depth perfect bake special occasion breakfast brunch,2019-12,nytimes,249,34,en,precovid
want deal character laugh amusing wonderful connected way overlook easily lily tomlin tell david marchese,2019-12,nytimes,240,43,en,precovid
streaming business problem horizon music business mean figure jimmy iovine tell,2019-12,nytimes,148,58,en,precovid
theater mock hysteria jazz hand pop culture punching bag write jesse green cochief theater critic,2019-12,nytimes,108,20,en,precovid
carlos ghosn nissan chairman face corruption charge japan abruptly leave country unclear reach deal,2019-12,nytimes,183,80,en,precovid
highranke official york department education arrest sunday wisconsin accuse computer facilitate child sex crime fire arrest official,2019-12,nytimes,126,57,en,precovid
responsibility figure thing child change life find hope determination misfortune,2019-12,nytimes,204,29,en,precovid
dozen political prisoner nicaragua free monday government strengthen sanction authoritarian government daniel ortega regime condemn world crackdown dissent,2019-12,nytimes,170,44,en,precovid
andy warhol build collection object find annex antiques fair flea market overafter lose lease patch asphalt nowgentrified neighborhood,2019-12,nytimes,175,68,en,precovid
bernie sanders release letter doctor include attend physician congress declare good health nearly heart attack campaign cardiologist describe recovery uneventful,2019-12,nytimes,567,80,en,precovid
think eat sugar chance eat lot realize sugar challenge strategy cut,2019-12,nytimes,392,108,en,precovid
voter hampshire ask joe biden consider republican running mate win democratic presidential nomination answer biden reply think,2019-12,nytimes,326,53,en,precovid
newly unearth document fda fail use policing power curb improper prescribing oxycontin longacting opioid,2019-12,nytimes,207,104,en,precovid
neil innes british humorist musician honorary member monty python comedy troupe know project include beatles parody band rutles die sunday,2019-12,nytimes,420,132,en,precovid
arame wade make delivery amazon ecommerce site west africa start mile away manhattanhere informal network courier provide solution challenge online shopping,2019-12,nytimes,100,25,en,precovid
